target	RS0015	RS0083	RS0095	RS0109	RS0175	RS0237	RS0247	RS0255	RS0307	RS0332	RS0343	RS0384	RS0406	RS0451	RS0468	RS0548
Adamdec1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
Akt1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0
Akt2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1
Akt3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
Amica1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0
Anpep	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1
Bcl2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1
Bcl6	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0
Blk	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0
Blnk	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1
Car5b	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1
Ccr2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0
Ccr3	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
Ccr7	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0
Cd19	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1
Cd28	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0
Cd38	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0
Cd4	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
Cd6	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Clec7a	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0
Cr2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
Csf1r	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Csf3r	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
Dock9	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Egf	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0
Egln2	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
Egln3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1
Eif2ak3	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0
Eif4e2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
Erbb2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1
Etv5	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
Fosb	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0
Foxj1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
Gata3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
Gpr83	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1
Gtf3c1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1
Hif1a	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Hk2	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
Icos	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0
Ikzf2	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
Ikzf4	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0
Il12rb2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0
Il17ra	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0
Il21r	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0
Il5ra	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1
Itgb2l	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Jun	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
