scenario,metric,metric_label,n_blocks,n_decoders,friedman_statistic,p_raw,p_bonf,significant_0.01
scenario1,exc_recall_at_max_f1,Exact recall,100,5,341.2184368737476,1.380061639951432e-72,8.280369839708592e-72,True
scenario1,exc_fdr_at_max_f1,Exact FDR,100,5,377.34400000000005,2.1816985048347434e-80,1.309019102900846e-79,True
scenario1,exc_max_f1,Exact F1,100,5,369.05600000000004,1.3456041139790111e-78,8.073624683874067e-78,True
scenario1,max_r,Max Pearson r,100,5,380.1840000000002,5.312951505918634e-81,3.18777090355118e-80,True
scenario1,max_rho,Max Spearman rho,100,5,371.94399999999996,3.2000973126705904e-79,1.9200583876023542e-78,True
scenario1,exc_average_precision,Exact average precision,100,5,371.576,3.842782180511697e-79,2.3056693083070184e-78,True
scenario10,exc_recall_at_max_f1,Exact recall,100,5,390.05600000000004,3.915019164885131e-83,2.3490114989310787e-82,True
scenario10,exc_fdr_at_max_f1,Exact FDR,100,5,381.41600000000017,2.878778043244884e-81,1.7272668259469304e-80,True
scenario10,exc_max_f1,Exact F1,100,5,384.23199999999997,7.094137013311789e-82,4.256482207987074e-81,True
scenario10,max_r,Max Pearson r,100,5,312.8560000000002,1.8250079596806455e-66,1.0950047758083872e-65,True
scenario10,max_rho,Max Spearman rho,100,5,360.03999999999996,1.1913350749178632e-76,7.148010449507179e-76,True
scenario10,exc_average_precision,Exact average precision,100,5,367.616,2.753725444136061e-78,1.6522352664816367e-77,True
scenario2,exc_recall_at_max_f1,Exact recall,100,5,395.48799999999983,2.6252217689889465e-84,1.575133061393368e-83,True
scenario2,exc_fdr_at_max_f1,Exact FDR,100,5,373.53600000000006,1.4498056380862468e-79,8.69883382851748e-79,True
scenario2,exc_max_f1,Exact F1,100,5,396.9279999999999,1.2824618876878203e-84,7.694771326126922e-84,True
scenario2,max_r,Max Pearson r,100,5,360.8000000000002,8.164183310593977e-77,4.898509986356386e-76,True
scenario2,max_rho,Max Spearman rho,100,5,381.15200000000004,3.282735698702306e-81,1.9696414192213835e-80,True
scenario2,exc_average_precision,Exact average precision,100,5,381.0239999999999,3.498530427135261e-81,2.099118256281157e-80,True
scenario3,exc_recall_at_max_f1,Exact recall,100,5,349.1199999999999,2.7163192483923994e-74,1.6297915490354397e-73,True
scenario3,exc_fdr_at_max_f1,Exact FDR,100,5,364.6399999999999,1.209594791158357e-77,7.257568746950143e-77,True
scenario3,exc_max_f1,Exact F1,100,5,376.06399999999985,4.123588388704685e-80,2.474153033222811e-79,True
scenario3,max_r,Max Pearson r,100,5,346.5920000000001,9.545328618107264e-74,5.727197170864358e-73,True
scenario3,max_rho,Max Spearman rho,100,5,371.62400000000025,3.7521353706460563e-79,2.2512812223876337e-78,True
scenario3,exc_average_precision,Exact average precision,100,5,378.82400000000007,1.044979831368779e-80,6.269878988212674e-80,True
scenario4,exc_recall_at_max_f1,Exact recall,100,5,380.3919999999998,4.790772214987733e-81,2.8744633289926396e-80,True
scenario4,exc_fdr_at_max_f1,Exact FDR,100,5,346.2911455727863,1.1085253037365444e-73,6.651151822419266e-73,True
scenario4,exc_max_f1,Exact F1,100,5,380.3919999999998,4.790772214987733e-81,2.8744633289926396e-80,True
scenario4,max_r,Max Pearson r,100,5,377.72800000000007,1.80239343166068e-80,1.081436058996408e-79,True
scenario4,max_rho,Max Spearman rho,100,5,375.3040000000001,6.017738278737658e-80,3.610642967242595e-79,True
scenario4,exc_average_precision,Exact average precision,100,5,353.72000000000025,2.7590287028254244e-75,1.6554172216952545e-74,True
scenario5,exc_recall_at_max_f1,Exact recall,100,5,378.0952380952382,1.5014976738609101e-80,9.00898604316546e-80,True
scenario5,exc_fdr_at_max_f1,Exact FDR,100,5,323.672,8.458018919575326e-69,5.0748113517451955e-68,True
scenario5,exc_max_f1,Exact F1,100,5,377.48,2.0390054276132833e-80,1.2234032565679699e-79,True
scenario5,max_r,Max Pearson r,100,5,343.8800000000001,3.675379902300259e-73,2.2052279413801556e-72,True
scenario5,max_rho,Max Spearman rho,100,5,329.91200000000026,3.8063822698202236e-70,2.2838293618921342e-69,True
scenario5,exc_average_precision,Exact average precision,100,5,321.52800000000025,2.4545042512898272e-68,1.4727025507738964e-67,True
scenario6,exc_recall_at_max_f1,Exact recall,100,5,392.54399999999987,1.1355830342429298e-83,6.81349820545758e-83,True
scenario6,exc_fdr_at_max_f1,Exact FDR,100,5,376.9760000000001,2.619892109913366e-80,1.5719352659480196e-79,True
scenario6,exc_max_f1,Exact F1,100,5,396.86400000000003,1.3239519133009247e-84,7.943711479805548e-84,True
scenario6,max_r,Max Pearson r,100,5,360.7359999999999,8.428175143971279e-77,5.056905086382767e-76,True
scenario6,max_rho,Max Spearman rho,100,5,378.82400000000007,1.044979831368779e-80,6.269878988212674e-80,True
scenario6,exc_average_precision,Exact average precision,100,5,368.87199999999984,1.4745414536465212e-78,8.847248721879127e-78,True
scenario7,exc_recall_at_max_f1,Exact recall,100,5,389.22400000000016,5.922127882461023e-83,3.5532767294766137e-82,True
scenario7,exc_fdr_at_max_f1,Exact FDR,100,5,368.1999999999998,2.0596446606966825e-78,1.2357867964180094e-77,True
scenario7,exc_max_f1,Exact F1,100,5,390.9520000000002,2.5070405780659895e-83,1.5042243468395936e-82,True
scenario7,max_r,Max Pearson r,100,5,359.62400000000025,1.465102029837671e-76,8.790612179026026e-76,True
scenario7,max_rho,Max Spearman rho,100,5,379.8560000000002,6.254423204419488e-81,3.7526539226516925e-80,True
scenario7,exc_average_precision,Exact average precision,100,5,379.35199999999986,8.036295233016901e-81,4.8217771398101405e-80,True
scenario8,exc_recall_at_max_f1,Exact recall,100,5,398.41600000000017,6.117109803313638e-85,3.670265881988183e-84,True
scenario8,exc_fdr_at_max_f1,Exact FDR,100,5,379.0160000000001,9.498051962051174e-81,5.6988311772307045e-80,True
scenario8,exc_max_f1,Exact F1,100,5,398.41600000000017,6.117109803313638e-85,3.670265881988183e-84,True
scenario8,max_r,Max Pearson r,100,5,366.3919999999998,5.061372348240284e-78,3.0368234089441706e-77,True
scenario8,max_rho,Max Spearman rho,100,5,381.53600000000006,2.711979580101696e-81,1.6271877480610176e-80,True
