scenario,metric,metric_label,decoder1,decoder2,p_raw,p_bonf,significant_0.01
scenario1,exc_recall_at_max_f1,Exact recall,bardensr,cosine-np,0.21912929531445202,1.0,False
scenario1,exc_recall_at_max_f1,Exact recall,bardensr,deepcell,3.621146715815371e-10,3.621146715815371e-09,True
scenario1,exc_recall_at_max_f1,Exact recall,bardensr,nn,0.0,0.0,True
scenario1,exc_recall_at_max_f1,Exact recall,bardensr,scaled,2.6181569034000596e-05,0.00026181569034000596,True
scenario1,exc_recall_at_max_f1,Exact recall,cosine-np,deepcell,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario1,exc_recall_at_max_f1,Exact recall,cosine-np,nn,0.0,0.0,True
scenario1,exc_recall_at_max_f1,Exact recall,cosine-np,scaled,0.07145460045450847,0.7145460045450847,False
scenario1,exc_recall_at_max_f1,Exact recall,deepcell,nn,6.154437372574151e-05,0.0006154437372574151,True
scenario1,exc_recall_at_max_f1,Exact recall,deepcell,scaled,0.0,0.0,True
scenario1,exc_recall_at_max_f1,Exact recall,nn,scaled,0.0,0.0,True
scenario1,exc_fdr_at_max_f1,Exact FDR,bardensr,cosine-np,1.0362334779134841e-07,1.036233477913484e-06,True
scenario1,exc_fdr_at_max_f1,Exact FDR,bardensr,deepcell,0.0,0.0,True
scenario1,exc_fdr_at_max_f1,Exact FDR,bardensr,nn,3.2516472717070144e-05,0.00032516472717070144,True
scenario1,exc_fdr_at_max_f1,Exact FDR,bardensr,scaled,8.341216606311264e-12,8.341216606311264e-11,True
scenario1,exc_fdr_at_max_f1,Exact FDR,cosine-np,deepcell,0.0,0.0,True
scenario1,exc_fdr_at_max_f1,Exact FDR,cosine-np,nn,0.0,0.0,True
scenario1,exc_fdr_at_max_f1,Exact FDR,cosine-np,scaled,0.6074829453091497,1.0,False
scenario1,exc_fdr_at_max_f1,Exact FDR,deepcell,nn,7.582252306237436e-05,0.0007582252306237436,True
scenario1,exc_fdr_at_max_f1,Exact FDR,deepcell,scaled,0.0,0.0,True
scenario1,exc_fdr_at_max_f1,Exact FDR,nn,scaled,0.0,0.0,True
scenario1,exc_max_f1,Exact F1,bardensr,cosine-np,0.0005460075954142329,0.005460075954142329,True
scenario1,exc_max_f1,Exact F1,bardensr,deepcell,1.3056752462548005e-06,1.3056752462548005e-05,True
scenario1,exc_max_f1,Exact F1,bardensr,nn,0.0,0.0,True
scenario1,exc_max_f1,Exact F1,bardensr,scaled,3.0251801064196115e-11,3.0251801064196115e-10,True
